Наименование;Начальная цена;Максимальная цена;Тип двигателя;Объём двигателя;Мощность двигателя;Коробка передач;Тип привода;Количество комплектаций
ВАЗ (Lada) Niva Travel;36 071 360;37 024 069;Бензин;1,7 л;80 л.с.;Механика;Полный;4 комплектации
Cadillac XT5;35 000 000;35 000 000;Бензин;2-3,7 л;200-314 л.с.;Автомат;Полный;2 комплектации
ВАЗ (Lada) Vesta SW;67 000 000;78 500 000;Бензин;1,6-1,8 л;106-122 л.с.;Вариатор/Механика;Передний;3 комплектации
BMW X1;27 405 000;36 529 920;Бензин/Дизель;1,5-2 л;136-241 л.с.;Робот;Передний/Полный;2 комплектации
Mini Countryman;19 690 000;21 690 000;Бензин/Гибрид/Электричество;150-313 л.с.;Робот;Передний/Полный;2 комплектации
Mercedes-Benz V-Класс;24 210 000;24 210 000;Бензин/Дизель;2-2,1 л;136-211 л.с.;Автомат;Полный/Задний;2 комплектации
Mercedes-Benz GLA-Класс;12 000 000;12 000 000;Бензин/Гибрид;1,3-2 л;136-306 л.с.;Робот;Передний/Полный;1 комплектация
Subaru Crosstrek;25 690 000;29 990 000;Бензин;2 л;150 л.с.;Вариатор;Полный;3 комплектации
Genesis G70;8 500 000;9 500 000;Бензин;2-3,3 л;247-370 л.с.;Автомат;Полный/Задний;1 комплектация
Wuling Starlight;10 390 000;12 400 000;Гибрид;1,5 л;106-204 л.с.;Автомат;Передний;3 комплектации
Lynk & Co 09;9 500 000;9 880 000;Гибрид;2 л;254 л.с.;Автомат;Полный;2 комплектации
BYD Destroyer 05;10 800 000;18 490 000;Гибрид;1,5 л;180-197 л.с.;Вариатор;Передний;5 комплектаций
Audi SQ5;6 731 025;15 099 000;Бензин;3 л;349 л.с.;Автомат;Полный;1 комплектация
Mitsubishi ASX;18 490 000;23 890 000;Бензин;1,6-2 л;117-150 л.с.;Вариатор/Механика;Передний/Полный;6 комплектаций
Jaecoo J7;100 000 000;105 000 000;Бензин;1,6 л;186 л.с.;Робот;Передний/Полный;3 комплектации
Omoda C5 FL;40 990 000;40 990 000;Бензин;1,5 л;113-147 л.с.;Вариатор;Передний;3 комплектации
Lynk & Co 08;38 000 000;85 000 000;Гибрид;1,5 л;350 л.с.;Автомат;Передний/Полный;2 комплектации
Maserati GranCabrio;66 000 000;66 000 000;Бензин/Электричество;550-761 л.с.;Автомат;Полный/Задний;2 комплектации
Kia K9;36 600 000;36 600 000;Бензин;3,3 л;249 л.с.;Автомат;Полный;1 комплектация
Mercedes-Benz E-Класс;23 250 000;32 800 000;Бензин/Дизель/Гибрид;2-3 л;197-449 л.с.;Автомат;Полный/Задний;3 комплектации
Audi RS 6;8 690 000;8 690 000;Бензин/Гибрид;4 л;600 л.с.;Автомат;Полный;1 комплектация
Audi Q5;17 490 000;17 800 000;Бензин;2-3 л;249 л.с.;Автомат/Робот;Полный;4 комплектации
Toyota Highlander;33 990 000;33 990 000;Бензин;2,4 л;249 л.с.;Автомат;Полный;2 комплектации
ВАЗ (Lada) 2121 (4x4);6 690 000;6 690 000;Бензин;1,7 л;83 л.с.;Механика;Полный;4 комплектации
Voyah Free;11 990 000;13 490 000;Гибрид;1,5 л;489-510 л.с.;Автомат;Полный;1 комплектация
Chevrolet Traverse;9 990 000;10 690 000;Бензин;2,5 л;328 л.с.;Автомат;Полный;1 комплектация
JAC S3 Pro;58 500 000;85 700 000;Бензин;1,6 л;109 л.с.;Вариатор/Механика;Передний;4 комплектации
Deepal S09;20 000 000;25 000 000;Гибрид;1,5 л;314-492 л.с.;Автомат;Полный/Задний;4 комплектации
Changan CS55 Plus;38 990 000;51 990 000;Бензин;1,5 л;181 л.с.;Робот;Передний;3 комплектации
Volkswagen Touareg;17 490 000;19 790 000;Бензин/Дизель/Гибрид;2-3 л;231-340 л.с.;Автомат;Полный;4 комплектации
Skoda Octavia;7 590 000;9 190 000;Бензин;1,4-2 л;150-204 л.с.;Автомат/Робот;Передний/Полный;3 комплектации
Chery Tiggo 4;8 890 000;12 190 000;Бензин;1,5 л;113-147 л.с.;Вариатор/Робот;Передний;2 комплектации
Hyundai Elantra;17 790 000;25 390 000;Бензин;1,5-2 л;114-149 л.с.;Автомат/Вариатор;Передний;9 комплектаций
Hyundai Santa Fe;14 490 000;15 490 000;Бензин;2,5 л;194-281 л.с.;Автомат/Робот;Полный;4 комплектации
Kia K5;20 639 100;21 084 100;Бензин;1,5-2 л;170-240 л.с.;Автомат/Робот;Передний;4 комплектации
Haval H9;63 000 000;88 000 000;Бензин;2 л;218 л.с.;Автомат;Полный;3 комплектации
Porsche Macan EV;12 290 000;15 100 000;Электричество;;355-630 л.с.;Автомат;Полный/Задний;5 комплектаций
Kia Sportage;10 990 000;10 990 000;Бензин;2-2,5 л;150-190 л.с.;Автомат;Передний/Полный;7 комплектаций
Kia Ceed;167 931 680;310 000 000;Бензин;1,5-1,6 л;128-150 л.с.;Автомат/Робот;Передний;2 комплектации
Porsche 911;9 490 000;13 590 000;Бензин/Гибрид;3-4 л;388-640 л.с.;Робот;Полный/Задний;12 комплектаций
Kia Soul;28 890 000;34 990 000;Бензин;1,6-2 л;123-149 л.с.;Автомат/Вариатор;Передний;6 комплектаций
Hyundai Palisade LX3;38 900 000;39 140 000;Бензин;2,5 л;249-281 л.с.;Автомат;Полный;6 комплектаций
Audi A6;11 190 000;16 990 000;Бензин/Дизель;2-3 л;163-340 л.с.;Автомат/Робот;Передний/Полный;4 комплектации
Toyota Corolla;10 400 000;13 700 000;Бензин;1,6 л;122 л.с.;Вариатор;Передний;4 комплектации
Deepal G318;12 480 000;18 000 000;Бензин/Гибрид;1,5 л;251-429 л.с.;Автомат;Полный/Задний;5 комплектаций
Chery Tiggo 2 Pro;5 890 000;6 490 000;Бензин;1,5 л;113 л.с.;Вариатор;Передний;1 комплектация
Kia K8;27 990 000;28 490 000;Бензин;3,5 л;300 л.с.;Автомат;Передний/Полный;3 комплектации
Zeekr 8X;34 300 000;61 900 000;Гибрид;2 л;897-1381 л.с.;Автомат;Полный;4 комплектации
Changan UNI-K;15 590 000;15 590 000;Бензин;2 л;226 л.с.;Автомат;Передний/Полный;3 комплектации
Wuling Starlight 560;9 390 000;11 400 000;Бензин/Гибрид/Электричество;136-197 л.с.;Автомат/Вариатор/Механика;Передний;4 комплектации
Geely Galaxy EX5;10 990 000;14 590 000;Электричество;;218 л.с.;Автомат;Передний;2 комплектации
Chevrolet Cobalt;6 490 000;6 790 000;Бензин;1,5 л;106 л.с.;Автомат/Механика;Передний;4 комплектации
Hyundai Sonata;12 290 000;17 990 000;Бензин;1,5-2,5 л;170-250 л.с.;Автомат;Передний;5 комплектаций
Jetour X70 Plus;10 990 000;12 490 000;Бензин;1,6 л;197 л.с.;Робот;Передний;1 комплектация
ВАЗ (Lada) Granta Седан;5 490 000;5 590 000;Бензин;1,6 л;90-106 л.с.;Автомат/Механика;Передний;8 комплектаций
Toyota RAV4 XA50;17 650 000;25 990 000;Бензин;2 л;173 л.с.;Вариатор;Полный;7 комплектаций
Chevrolet Onix;6 990 000;7 990 000;Бензин;1,2 л;90-132 л.с.;Автомат/Механика;Передний;5 комплектаций
Jetour X70;8 390 000;9 390 000;Бензин;1,5 л;156 л.с.;Робот;Передний;2 комплектации
ГАЗ ГАЗель NEXT;12 500 000;17 769 000;Бензин/Дизель/Газ-бензин;2,7-2,8 л;104-150 л.с.;Механика;Задний;30 комплектаций
Lexus ES;26 890 000;34 290 000;Бензин;2,5-3,5 л;201-249 л.с.;Автомат;Передний;7 комплектаций
BMW X5;45 000 000;75 000 000;Бензин/Дизель;3-4,4 л;298-625 л.с.;Автомат;Полный;2 комплектации
JAC J7;6 490 000;8 690 000;Бензин;1,5 л;136 л.с.;Вариатор/Механика;Передний;2 комплектации
Chery C8;8 990 000;8 990 000;Бензин;1,5 л;147 л.с.;Робот;Передний;1 комплектация
Changan Eado Plus;6 990 000;7 999 900;Бензин;1,5 л;103 л.с.;Робот;Передний;1 комплектация
Porsche Macan;58 000 000;68 990 000;Бензин;2-3 л;265-440 л.с.;Робот;Полный;7 комплектаций
Infiniti QX55;17 990 000;23 990 000;Бензин;2 л;249 л.с.;Вариатор;Полный;5 комплектаций
BYD Han;15 800 000;16 000 000;Гибрид/Электричество;139-517 л.с.;Автомат/Вариатор;Передний/Полный;1 комплектация
Hyundai Mufasa;11 990 000;14 290 000;Бензин;2 л;160 л.с.;Автомат;Передний;2 комплектации
Genesis G80;32 190 000;36 190 000;Бензин;2,5-3,5 л;249-379 л.с.;Автомат;Полный/Задний;2 комплектации
Genesis GV80;37 490 000;56 590 000;Бензин;2,5-3,5 л;249-379 л.с.;Автомат;Полный;2 комплектации
Omoda S5;6 990 000;7 490 000;Бензин;1,5 л;113-147 л.с.;Вариатор;Передний;2 комплектации
Geely Emgrand;6 990 000;9 290 000;Бензин;1,5 л;122 л.с.;Автомат/Механика;Передний;5 комплектаций
JAC JS8;10 290 000;13 290 000;Бензин;1,5 л;174 л.с.;Робот;Передний;2 комплектации
Geely Monjaro;13 900 000;16 590 000;Бензин;2 л;238 л.с.;Автомат;Полный;2 комплектации
Kia Cerato;8 990 000;10 490 000;Бензин;1,6-2 л;128-150 л.с.;Автомат/Механика;Передний;7 комплектаций
Geely Atlas;9 990 000;13 790 000;Бензин;1,5-2 л;174-238 л.с.;Автомат/Робот;Передний/Полный;4 комплектации
Infiniti QX50;21 990 000;28 990 000;Бензин;2 л;249 л.с.;Вариатор;Полный;8 комплектаций
Infiniti QX80 Z63;73 500 000;88 990 000;Бензин;3,5 л;450 л.с.;Автомат;Полный;4 комплектации
ВАЗ (Lada) Vesta SW Cross;9 980 000;9 980 000;Бензин;1,6-1,8 л;106-122 л.с.;Вариатор/Механика;Передний;6 комплектаций
Kia EV6;59 990 000;59 990 000;Электричество;;325 л.с.;Автомат;Полный;2 комплектации
Tank 700;37 130 000;71 000 000;Гибрид;3 л;354-517 л.с.;Автомат;Полный;1 комплектация
Smart #5;27 500 000;27 500 000;Электричество;;340-646 л.с.;Автомат;Полный/Задний;3 комплектации
Wuling Hongguang Reev;5 490 000;5 490 000;Гибрид/Электричество;102 л.с.;Автомат;Задний;1 комплектация
Smart #1;93 563 790;133 800 000;Электричество;;238-428 л.с.;Автомат;Полный/Задний;3 комплектации
Nissan Patrol Y61;108 000 000;121 573 984;Бензин/Дизель;3-4,8 л;135-280 л.с.;Автомат/Механика;Полный;2 комплектации
Mercedes-Benz GLB-Класс;35 773 360;39 500 000;Бензин/Дизель;1,3-2 л;116-306 л.с.;Робот;Передний/Полный;2 комплектации
Exeed TXL;134 000 000;147 838 000;Бензин;1,6-2 л;194-197 л.с.;Автомат/Робот;Полный;2 комплектации
Mercedes-Maybach S-Класс;168 446 000;180 000 000;Бензин;3-6 л;367-612 л.с.;Автомат;Полный;1 комплектация
Tesla Model S;36 599 000;43 298 000;Электричество;;382-1020 л.с.;Автомат;Полный/Задний;1 комплектация
Tesla Model Y;10 090 000;10 590 000;Электричество;;260-554 л.с.;Автомат;Полный/Задний;2 комплектации
Tesla Model X;13 490 000;13 490 000;Электричество;;670-1020 л.с.;Автомат;Полный
Chevrolet Monza;78 390 000;92 490 000;Бензин;1,3-1,5 л;113-163 л.с.;Автомат/Робот;Передний;2 комплектации
AITO M5;40 000 000;45 500 000;Гибрид;1,5 л;152-496 л.с.;Автомат;Полный;1 комплектация
AITO M7;9 700 000;11 000 000;Гибрид;1,5 л;152-449 л.с.;Автомат;Полный/Задний;5 комплектаций
Lexus LM;15 000 000;15 000 000;Гибрид;2,5 л;250 л.с.;Вариатор;Полный;4 комплектации
AITO M9;55 565 000;56 000 000;Гибрид;1,5 л;152-496 л.с.;Автомат;Полный;6 комплектаций
BYD Qin L;15 990 000;15 990 000;Гибрид;1,5 л;264-319 л.с.;Вариатор;Передний;3 комплектации
Changan Alsvin;20 500 000;22 000 000;Бензин;1,5 л;98 л.с.;Робот;Передний;1 комплектация
Baojun Yunduo Cloud;27 800 000;27 800 000;Электричество;;136 л.с.;Автомат;Передний;1 комплектация
DongFeng EP 007;29 500 000;36 000 000;Электричество;;218-544 л.с.;Автомат;Полный/Задний;3 комплектации
